Year,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
2024,462,Alika Williams,25,PIT,NL,-0.2,37,96,87,13,18,4,2,0,5,1,0,3,22,207.0,242.0,299.0,541.0,50.0,249.0,45.0,26,0,1,5,0,0,46/H,,willial04
2021,1010,Alí Sánchez,24,STL,NL,0.1,2,4,4,0,2,2,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,302.0,0.622,313.0,4,0,0,0,0,0,/2,,sanchal04
2024,461,Alí Sánchez,27,MIA,NL,-0.6,31,96,84,5,14,2,0,0,4,2,1,4,24,167.0,211.0,190.0,402.0,11.0,194.0,-1.0,16,2,1,6,1,0,2/H,,sanchal04
2017,443,Amed Rosario,21,NYM,NL,-0.5,46,170,165,16,41,4,4,4,10,7,3,3,49,0.248,0.271,0.394,0.665,76.0,0.281,66.0,65,3,2,0,0,0,6/H,,rosaram01
2018,89,Amed Rosario,22,NYM,NL,1.1,154,592,554,76,142,26,8,9,51,24,11,29,119,0.256,0.295,0.381,0.676,88.0,0.301,87.0,211,9,3,3,3,4,*6/H,,rosaram01
2019,40,Amed Rosario,23,NYM,NL,3.0,157,655,616,75,177,30,7,15,72,19,10,31,124,0.287,0.323,0.432,0.755,101.0,0.329,104.0,266,13,3,2,3,2,*6/H7D,,rosaram01
2021,82,Amed Rosario,25,CLE,AL,2.0,141,588,550,77,155,25,6,11,57,13,0,31,120,0.282,0.321,0.409,0.731,100.0,0.324,99.0,225,12,3,0,4,0,*68/HD,,rosaram01
2022,19,Amed Rosario,26,CLE,AL,4.2,153,670,637,86,180,26,9,11,71,18,4,25,111,0.283,0.312,0.403,0.715,106.0,0.319,104.0,257,19,4,0,4,0,*6/7DH,,rosaram01
2023,114,Amed Rosario,27,2TM,2LG,0.4,142,545,510,70,134,25,8,6,58,15,2,29,99,0.263,0.305,0.378,0.683,87.0,0.304,87.0,193,15,3,0,3,0,64H/D,,rosaram01
2024,245,Amed Rosario,28,3TM,2LG,-0.1,103,346,332,29,93,18,3,3,32,13,5,9,73,280.0,306.0,380.0,686.0,94.0,312.0,98.0,126,10,4,0,1,0,49DH56,,rosaram01
2016,492,Andrew Benintendi,21,BOS,AL,0.8,34,118,105,16,31,11,1,2,14,1,0,10,25,0.295,0.359,0.476,0.835,118.0,0.358,115.0,50,0,1,1,1,0,7/8H,,beninan01
2017,34,Andrew Benintendi,22,BOS,AL,2.8,151,658,573,84,155,26,1,20,90,20,5,70,112,0.271,0.352,0.424,0.776,103.0,0.338,98.0,243,16,6,1,8,7,*78/H,ROY-2,beninan01
2018,33,Andrew Benintendi,23,BOS,AL,4.8,148,661,579,103,168,41,6,16,87,21,3,71,106,0.29,0.366,0.465,0.83,123.0,0.368,124.0,269,9,2,2,7,1,*78/H,,beninan01
2019,64,Andrew Benintendi,24,BOS,AL,1.8,138,615,541,72,144,40,5,13,68,10,3,59,140,0.266,0.343,0.431,0.774,99.0,0.337,99.0,233,6,7,3,5,1,*78/HD,,beninan01
2021,136,Andrew Benintendi,26,KCR,AL,2.6,134,538,493,63,136,27,2,17,73,8,9,36,97,0.276,0.324,0.442,0.766,106.0,0.329,107.0,218,2,2,1,6,0,*7/H,GG,beninan01
2022,136,Andrew Benintendi,27,2TM,AL,3.2,126,521,461,54,140,23,3,5,51,8,3,52,77,0.304,0.373,0.399,0.772,120.0,0.351,125.0,184,7,2,1,5,0,*7/HD,AS,beninan01
2023,58,Andrew Benintendi,28,CHW,AL,0.2,151,621,562,72,147,34,2,5,45,13,2,52,89,0.262,0.326,0.356,0.682,88.0,0.306,85.0,200,12,3,1,3,5,*7/HD,,beninan01
2024,117,Andrew Benintendi,29,CHW,AL,-0.8,135,522,477,50,109,20,0,20,64,3,2,41,96,229.0,289.0,396.0,685.0,95.0,299.0,92.0,189,12,1,0,3,1,*7H/D8,,beninan01
2017,410,Andrew Knapp,25,PHI,NL,0.4,56,204,171,26,44,8,1,3,13,1,0,31,56,0.257,0.368,0.368,0.736,96.0,0.327,94.0,63,5,0,0,2,4,2/H3D,,knappan01
2018,420,Andrew Knapp,26,PHI,NL,-0.5,84,215,187,19,37,6,2,4,15,1,0,24,75,0.198,0.294,0.316,0.61,64.0,0.285,64.0,59,2,2,1,1,1,2H/3,,knappan01
2019,468,Andrew Knapp,27,PHI,NL,0.1,74,160,136,12,29,9,0,2,8,0,0,18,51,0.213,0.318,0.324,0.642,68.0,0.283,61.0,44,2,3,3,0,2,2H/3,,knappan01
2021,496,Andrew Knapp,29,PHI,NL,-1.5,62,159,145,13,22,3,0,2,11,0,0,10,61,0.152,0.215,0.214,0.429,17.0,0.2,9.0,31,1,2,1,1,0,2H/314,,knappan01
2022,703,Andrew Knapp,30,3TM,2LG,-0.2,16,46,39,4,5,1,0,0,4,0,0,5,12,0.128,0.239,0.154,0.393,16.0,0.197,15.0,6,0,1,0,1,0,2/H,,knappan01
2024,633,Andrew Knapp,32,SFG,NL,-0.1,3,6,6,0,1,0,0,0,0,0,0,0,2,167.0,167.0,167.0,333.0,-3.0,133.0,-25.0,1,0,0,0,0,0,/2,,knappan01
2019,640,Andrew Knizner,24,STL,NL,0.2,18,58,53,7,12,2,0,2,7,2,0,4,14,0.226,0.293,0.377,0.67,76.0,0.314,83.0,20,3,1,0,0,0,2/H3,,kniznan01
2021,466,Andrew Knizner,26,STL,NL,-0.3,63,185,161,18,28,7,0,1,9,0,0,20,39,0.174,0.281,0.236,0.517,46.0,0.241,43.0,38,7,4,0,0,2,2H/3,,kniznan01
2022,341,Andrew Knizner,27,STL,NL,0.6,96,293,260,28,56,10,0,4,25,0,1,26,62,0.215,0.301,0.3,0.601,74.0,0.277,75.0,78,9,6,1,0,0,2/H31D,,kniznan01
2023,387,Andrew Knizner,28,STL,NL,1.0,70,241,224,30,54,11,0,10,31,2,0,12,62,0.241,0.288,0.424,0.712,91.0,0.309,88.0,95,8,3,1,1,0,2/H3D,,kniznan01
2024,467,Andrew Knizner,29,TEX,AL,-0.9,35,93,90,5,15,1,0,1,9,0,0,1,22,167.0,183.0,211.0,394.0,13.0,183.0,9.0,19,2,1,0,1,0,2/1D,,kniznan01
2015,14,Andrew McCutchen,28,PIT,NL,5.0,157,685,566,91,165,36,3,23,96,11,5,98,133,0.292,0.401,0.488,0.889,144.0,0.39,147.0,276,9,12,0,9,12,*8/DH,ASMVP-5SS,mccutan01
2016,34,Andrew McCutchen,29,PIT,NL,-0.3,153,675,598,81,153,26,3,24,79,6,7,69,143,0.256,0.336,0.43,0.766,104.0,0.339,107.0,257,15,5,0,3,7,*8/H,,mccutan01
2017,38,Andrew McCutchen,30,PIT,NL,3.0,156,650,570,94,159,30,2,28,88,11,5,73,116,0.279,0.363,0.486,0.849,123.0,0.365,124.0,277,10,4,0,3,5,*89/DH,,mccutan01
2018,20,Andrew McCutchen,31,2TM,2LG,2.5,155,682,569,83,145,30,3,20,65,14,9,95,145,0.255,0.368,0.424,0.792,120.0,0.354,126.0,241,12,11,0,7,1,*97/DH,,mccutan01
2019,354,Andrew McCutchen,32,PHI,NL,1.8,59,262,219,45,56,12,1,10,29,2,1,43,55,0.256,0.378,0.457,0.834,116.0,0.363,120.0,100,1,0,0,0,0,78/D,,mccutan01
2021,99,Andrew McCutchen,34,PHI,NL,1.4,144,574,482,78,107,24,1,27,80,6,1,81,132,0.222,0.334,0.444,0.778,109.0,0.342,109.0,214,10,4,0,7,2,*7H/D,,mccutan01
2022,83,Andrew McCutchen,35,MIL,NL,1.1,134,580,515,66,122,25,0,17,69,8,6,57,124,0.237,0.316,0.384,0.7,97.0,0.31,96.0,198,10,4,0,4,1,D79/8H,,mccutan01
2023,171,Andrew McCutchen,36,PIT,NL,1.5,112,473,390,55,100,19,0,12,43,11,3,75,100,0.256,0.378,0.397,0.776,112.0,0.348,115.0,155,8,4,0,4,1,D/9H,,mccutan01
2024,123,Andrew McCutchen,37,PIT,NL,0.8,120,515,448,66,104,18,1,20,50,3,2,58,133,232.0,328.0,411.0,739.0,105.0,332.0,110.0,184,9,7,0,2,1,*D/9H,,mccutan01
2021,188,Andrew Vaughn,23,CHW,AL,0.1,127,469,417,56,98,22,0,15,48,1,1,41,101,0.235,0.309,0.396,0.705,91.0,0.322,100.0,165,14,6,0,5,0,793/HD54,,vaughan01
2022,110,Andrew Vaughn,24,CHW,AL,-0.1,134,555,510,60,138,28,1,17,76,0,0,31,96,0.271,0.321,0.429,0.75,111.0,0.333,113.0,219,13,9,0,5,0,97D3/H4,,vaughan01
2023,68,Andrew Vaughn,25,CHW,AL,0.9,152,615,566,67,146,30,2,21,80,0,0,36,129,0.258,0.314,0.429,0.743,102.0,0.325,101.0,243,15,11,0,2,0,*3/DH,,vaughan01
2024,66,Andrew Vaughn,26,CHW,AL,0.2,149,619,570,55,140,30,1,19,70,2,0,38,132,246.0,297.0,402.0,699.0,99.0,305.0,96.0,229,13,6,0,5,0,*3D/H,,vaughan01
2023,318,Andruw Monasterio,26,MIL,NL,1.3,92,315,282,38,73,14,1,3,27,7,2,28,66,0.259,0.33,0.348,0.678,86.0,0.31,90.0,98,9,3,0,2,0,54/H6D,,monasan01
2024,415,Andruw Monasterio,27,MIL,NL,-0.2,59,142,125,14,26,5,0,1,16,6,2,16,40,208.0,303.0,272.0,575.0,62.0,267.0,60.0,34,3,1,0,0,0,54H/3D7,,monasan01
2024,420,Andrés Chaparro,25,WSN,NL,-0.1,33,132,121,12,26,12,0,4,15,1,1,7,24,215.0,280.0,413.0,694.0,95.0,305.0,97.0,50,3,4,0,0,0,D3,,chapaan01
2021,437,Andrés Giménez,22,CLE,AL,0.9,68,210,188,23,41,10,0,5,16,11,0,11,54,0.218,0.282,0.351,0.633,74.0,0.287,67.0,66,1,7,1,3,0,64/HD,,gimenan01
2022,108,Andrés Giménez,23,CLE,AL,7.4,146,557,491,66,146,26,3,17,69,20,3,34,112,0.297,0.371,0.466,0.837,141.0,0.373,142.0,229,9,25,4,3,4,*46/H,ASMVP-6GG,gimenan01
2023,66,Andrés Giménez,24,CLE,AL,5.3,153,616,557,76,140,27,5,15,62,30,6,32,112,0.251,0.314,0.399,0.712,96.0,0.318,98.0,222,10,20,4,3,3,*4/H,GG,gimenan01
2024,55,Andrés Giménez,25,CLE,AL,4.0,152,633,583,64,147,22,1,9,63,30,5,26,97,252.0,298.0,340.0,638.0,82.0,294.0,81.0,198,11,15,3,6,1,*4,GG,gimenan01
2021,353,Andy Ibáñez,28,TEX,AL,1.8,76,272,253,31,70,15,2,7,25,0,0,15,35,0.277,0.321,0.435,0.756,106.0,0.33,107.0,110,6,2,1,1,0,4D35H/7,,ibanean01
2022,539,Andy Ibáñez,29,TEX,AL,-0.1,40,128,119,13,26,4,0,1,9,3,0,9,21,0.218,0.273,0.277,0.551,58.0,0.254,51.0,33,0,0,0,0,0,5/D34H,,ibanean01
2023,254,Andy Ibáñez,30,DET,AL,2.0,114,383,356,42,94,23,2,11,41,1,0,24,69,0.264,0.312,0.433,0.744,103.0,0.32,98.0,154,7,1,1,1,0,4H57/93D,,ibanean01
2024,330,Andy Ibáñez,31,DET,AL,1.4,99,244,224,30,54,9,1,5,32,2,3,15,63,241.0,295.0,357.0,652.0,85.0,289.0,86.0,80,2,3,0,2,0,H453/7D6,,ibanean01
2024,178,Andy Pages,23,LAD,NL,1.3,116,443,403,65,100,23,1,13,46,1,2,29,108,248.0,305.0,407.0,712.0,102.0,310.0,101.0,164,8,6,0,4,0,*89/H7D,,pagesan01
2015,291,Anthony Rendon,25,WSN,NL,0.5,80,355,311,43,82,16,0,5,25,1,2,36,70,0.264,0.344,0.363,0.707,93.0,0.318,92.0,113,8,4,0,4,0,45/H,,rendoan01
2016,52,Anthony Rendon,26,WSN,NL,4.5,156,647,567,91,153,38,2,20,85,12,6,65,117,0.27,0.348,0.45,0.797,108.0,0.35,109.0,255,5,7,0,8,2,*5/H,,rendoan01
2017,80,Anthony Rendon,27,WSN,NL,6.1,147,605,508,81,153,41,1,25,100,7,2,84,82,0.301,0.403,0.533,0.937,139.0,0.4,141.0,271,7,7,0,6,6,*5/H,MVP-6,rendoan01
2018,85,Anthony Rendon,28,WSN,NL,5.1,136,597,529,88,163,44,2,24,92,2,1,55,82,0.308,0.374,0.535,0.909,137.0,0.388,137.0,283,5,5,0,8,5,*5,MVP-11,rendoan01
2019,46,Anthony Rendon,29,WSN,NL,7.1,146,646,545,117,174,44,3,34,126,5,1,80,86,0.319,0.412,0.598,1.01,157.0,0.422,160.0,326,13,12,0,9,8,*5/4,ASMVP-3SS,rendoan01
2021,393,Anthony Rendon,31,LAA,AL,0.0,58,249,217,24,52,13,0,6,34,0,0,29,41,0.24,0.329,0.382,0.712,94.0,0.318,95.0,83,11,1,0,2,2,5/D,,rendoan01
2022,435,Anthony Rendon,32,LAA,AL,0.9,47,193,166,15,38,10,0,5,24,2,0,23,35,0.229,0.326,0.38,0.706,100.0,0.317,98.0,63,7,2,0,2,0,5/H,,rendoan01
2023,434,Anthony Rendon,33,LAA,AL,0.1,43,183,148,23,35,6,0,2,22,2,0,25,27,0.236,0.361,0.318,0.678,89.0,0.319,94.0,47,6,6,0,4,0,5,,rendoan01
2024,338,Anthony Rendon,34,LAA,AL,0.6,57,238,206,21,45,10,0,0,14,6,1,23,35,218.0,307.0,267.0,574.0,66.0,283.0,75.0,55,4,5,0,4,0,5/D,,rendoan01
2015,4,Anthony Rizzo,25,CHC,NL,6.4,160,701,586,94,163,38,3,31,101,17,6,78,105,0.278,0.387,0.512,0.899,146.0,0.397,152.0,300,9,30,0,7,9,*3,ASMVP-4,rizzoan01
2016,32,Anthony Rizzo,26,CHC,NL,5.8,155,676,583,94,170,43,4,32,109,3,5,74,108,0.292,0.385,0.544,0.928,143.0,0.394,145.0,317,13,16,0,3,8,*3/H4,ASMVP-4GGSS,rizzoan01
2017,10,Anthony Rizzo,27,CHC,NL,4.5,157,691,572,99,156,32,3,32,109,10,4,91,90,0.273,0.392,0.507,0.899,131.0,0.383,131.0,290,21,24,0,4,11,*34/H57,MVP-13,rizzoan01
2018,31,Anthony Rizzo,28,CHC,NL,3.1,153,665,566,74,160,29,1,25,101,6,4,70,80,0.283,0.376,0.47,0.846,124.0,0.367,124.0,266,11,20,0,9,15,*3/H14,MVP-17GG,rizzoan01
2019,66,Anthony Rizzo,29,CHC,NL,4.3,146,613,512,89,150,29,3,27,94,5,2,71,86,0.293,0.405,0.52,0.924,139.0,0.395,143.0,266,15,27,0,3,3,*3/H,GG,rizzoan01
2021,96,Anthony Rizzo,31,2TM,2LG,1.7,141,576,496,73,123,23,3,22,61,6,2,52,87,0.248,0.344,0.44,0.783,112.0,0.35,117.0,218,15,23,0,5,2,*3/H14,,rizzoan01
2022,116,Anthony Rizzo,32,NYY,AL,2.3,130,548,465,77,104,21,1,32,75,6,5,58,101,0.224,0.338,0.48,0.817,130.0,0.35,127.0,223,13,23,0,2,6,*3/DH,,rizzoan01
2023,213,Anthony Rizzo,33,NYY,AL,0.5,99,421,373,45,91,14,0,12,41,0,3,35,97,0.244,0.328,0.378,0.706,94.0,0.309,94.0,141,10,12,0,1,1,3/D,,rizzoan01
2024,226,Anthony Rizzo,34,NYY,AL,0.2,92,375,337,38,77,12,0,8,35,0,0,27,65,228.0,301.0,335.0,637.0,81.0,297.0,88.0,113,7,9,0,2,0,3/H,,rizzoan01
2017,719,Anthony Santander,22,BAL,AL,0.0,13,31,30,1,8,3,0,0,2,0,0,0,8,0.267,0.258,0.367,0.625,67.0,0.263,55.0,11,0,0,0,1,0,/97H,,santaan02
2018,533,Anthony Santander,23,BAL,AL,-0.5,33,108,101,8,20,5,1,1,6,1,0,6,21,0.198,0.25,0.297,0.547,51.0,0.243,43.0,30,1,1,0,0,0,9/DH7,,santaan02
2019,223,Anthony Santander,24,BAL,AL,1.5,93,405,380,46,99,20,1,20,59,1,2,19,86,0.261,0.297,0.476,0.773,100.0,0.329,101.0,181,1,2,1,3,0,978/DH,,santaan02
2021,204,Anthony Santander,26,BAL,AL,0.3,110,438,406,54,98,24,0,18,50,1,1,23,101,0.241,0.286,0.433,0.72,94.0,0.306,90.0,176,11,4,1,4,0,9D/H7,,santaan02
2022,31,Anthony Santander,27,BAL,AL,2.3,152,647,574,78,138,24,0,33,89,0,2,55,122,0.24,0.318,0.455,0.773,120.0,0.338,121.0,261,14,13,0,5,1,*97D/H,,santaan02
2023,39,Anthony Santander,28,BAL,AL,3.0,153,656,591,81,152,41,1,28,95,5,1,55,152,0.257,0.325,0.472,0.797,121.0,0.341,119.0,279,11,6,0,4,1,9D3/H7,,santaan02
2024,25,Anthony Santander,29,BAL,AL,2.9,155,665,595,91,140,25,2,44,102,2,0,58,129,235.0,308.0,506.0,814.0,134.0,346.0,131.0,301,9,7,0,5,3,*9D/3H,ASMVP-14SS,santaan02
2023,77,Anthony Volpe,22,NYY,AL,3.3,159,601,541,62,113,23,4,21,60,24,5,52,167,0.209,0.283,0.383,0.666,81.0,0.299,80.0,207,10,5,1,2,0,*6/H,ROY-8GG,volpean01
2024,15,Anthony Volpe,23,NYY,AL,3.4,160,689,637,90,155,27,7,12,60,28,7,42,156,243.0,293.0,364.0,657.0,86.0,296.0,84.0,232,9,4,2,3,1,*6/H,,volpean01
2018,613,Aramis Garcia,25,SFG,NL,0.2,19,65,63,8,18,1,0,4,9,0,0,2,31,0.286,0.308,0.492,0.8,119.0,0.345,118.0,31,1,0,0,0,0,3/2H,,garciar01
2019,697,Aramis Garcia,26,SFG,NL,-0.3,18,46,42,5,6,1,0,2,5,0,0,4,21,0.143,0.217,0.31,0.527,38.0,0.219,20.0,13,1,0,0,0,1,2/3H,,garciar01
2021,592,Aramis Garcia,28,OAK,AL,-0.4,32,94,88,8,18,1,0,3,7,0,0,1,28,0.205,0.239,0.318,0.557,55.0,0.25,55.0,28,4,3,2,0,0,2/DH,,garciar01
2022,564,Aramis Garcia,29,CIN,NL,-0.8,47,115,108,6,23,2,0,1,4,0,1,3,34,0.213,0.248,0.259,0.507,40.0,0.221,26.0,28,4,2,2,0,0,2/3HD,,garciar01
2024,629,Aramis Garcia,31,PHI,NL,-0.1,3,7,7,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0.0,-129.0,0,1,0,0,0,0,/2,,garciar01
2024,549,Armando Alvarez,29,OAK,AL,-0.4,16,39,37,7,9,1,0,0,2,1,0,2,8,243.0,282.0,270.0,552.0,63.0,252.0,57.0,10,1,0,0,0,0,/53H74,,alvarar01
2015,706,Austin Barnes,25,LAD,NL,0.1,20,37,29,4,6,2,0,0,1,1,0,6,6,0.207,0.361,0.276,0.637,83.0,0.313,89.0,8,2,1,1,0,0,2/H45,,barneau01
2016,679,Austin Barnes,26,LAD,NL,-0.1,21,37,32,3,5,1,0,0,2,0,0,5,9,0.156,0.27,0.188,0.458,28.0,0.22,21.0,6,0,0,0,0,0,/2H45,,barneau01
2017,361,Austin Barnes,27,LAD,NL,2.4,102,262,218,35,63,15,2,8,38,4,1,39,43,0.289,0.408,0.486,0.895,138.0,0.393,144.0,106,6,5,0,0,1,2H4/5D,,barneau01
2018,390,Austin Barnes,28,LAD,NL,0.6,100,238,200,32,41,5,0,4,14,4,3,31,67,0.205,0.329,0.29,0.619,72.0,0.295,77.0,58,7,6,1,0,4,2H4,,barneau01
2019,376,Austin Barnes,29,LAD,NL,0.2,75,242,212,28,43,12,1,5,25,3,0,23,56,0.203,0.293,0.34,0.633,67.0,0.286,65.0,72,8,5,0,2,3,2H/4,,barneau01
2021,420,Austin Barnes,31,LAD,NL,0.3,77,225,200,28,43,8,0,6,23,1,0,20,56,0.215,0.299,0.345,0.644,72.0,0.292,70.0,69,6,4,1,0,1,2H/4D,,barneau01
2022,422,Austin Barnes,32,LAD,NL,0.7,62,212,179,31,38,6,0,8,26,2,1,27,37,0.212,0.324,0.38,0.704,97.0,0.315,97.0,68,5,3,2,1,0,2/DH4,,barneau01
2023,418,Austin Barnes,33,LAD,NL,-1.1,59,200,178,15,32,5,0,2,11,2,1,17,43,0.18,0.256,0.242,0.498,37.0,0.232,31.0,43,7,2,1,2,0,2/H4D,,barneau01
2024,401,Austin Barnes,34,LAD,NL,0.7,54,156,140,12,37,3,0,1,11,3,0,14,36,264.0,331.0,307.0,638.0,85.0,294.0,85.0,43,3,0,2,0,0,2/HD4,,barneau01
2017,587,Austin Hays,21,BAL,AL,-0.5,20,63,60,4,13,3,0,1,8,0,0,2,16,0.217,0.238,0.317,0.555,49.0,0.25,46.0,19,2,0,0,1,0,9/8,,haysau01
2019,576,Austin Hays,23,BAL,AL,0.8,21,75,68,12,21,6,0,4,13,2,0,7,13,0.309,0.373,0.574,0.947,146.0,0.408,151.0,39,0,0,0,0,0,8/H,,haysau01
2021,146,Austin Hays,25,BAL,AL,3.2,131,529,488,73,125,26,4,22,71,4,3,28,107,0.256,0.308,0.461,0.769,107.0,0.33,106.0,225,9,9,3,1,0,*79/H8,,haysau01
2022,80,Austin Hays,26,BAL,AL,2.4,145,582,535,66,134,35,2,16,60,2,4,34,114,0.25,0.306,0.413,0.719,105.0,0.321,109.0,221,11,10,0,3,0,*79/8DH,,haysau01
